ID,Year,View Count,Length (s),Likes
DXn_lX09KKM,2016,9087,813.0,33
42aGZ4qh8Dk,2016,324734,1178.0,1913
EQw8RYrpmf0,2016,612152,676.0,12792
UGo4mG2SvHU,2016,269430,627.0,6071
6aQUfcrHUME,2016,57623063,523.0,189144
FTb6LIWirIw,2016,28901,367.0,1414
RqYS5BfnYiw,2016,2467434,1109.0,15871
HIL_kc8xnl0,2016,545007,841.0,9750
r1eFuhKQ3Tc,2016,33284,762.0,561
-8WELAuW7_4,2016,50560,574.0,1617
lB4_cV38Z3w,2016,36068,632.0,1263
UaXCwv_bKAg,2016,1681395,208.0,4074
UIE9gh8MD3w,2016,576385,704.0,6116
eF8utx-x8mc,2016,300532,1178.0,1925
HgmyksLaccU,2016,79871,60.0,1889
AyU6pcyqTsk,2016,120,3155.0,1
zI4XVEzUiFw,2016,251198,826.0,3077
1mqolVHW84k,2016,1294442,572.0,8298
UaXCwv_bKAg,2016,1681395,208.0,4074
x-L4BIexqPc,2016,534416,894.0,10137
JQNwQjjPvCE,2016,1527,50.0,42
6U_IMCqs_mI,2016,778556,669.0,12360
L6l0xTHYBEA,2016,881,24.0,56
BKPnOIpYL3o,2016,448990,727.0,12935
4Rxw221cFDU,2016,70,7.0,9
pi_O03ySdac,2016,49936,331.0,454
40MJTyYMM1M,2016,204299,184.0,18
tzCOMr7valM,2016,146336,592.0,1749
I9gbqgJE7w0,2016,1878313,934.0,18568
rrbro6g9BYg,2016,789,40.0,5
pwyAHrm9j5A,2016,296724,250.0,787
H9rmNDl1xeE,2016,625,58.0,4
0UufyQUSwsg,2016,985381,465.0,18940
eBH0KlxYbb0,2016,23860,211.0,596
ksO2S0XuA30,2016,136,39.0,8
feVZni33qCU,2016,2117727,835.0,14308
G0KQ4pofsOs,2016,19754,209.0,462
nYPM1arDDMI,2016,275,54.0,4
j-OXrtQUIZI,2016,288867,1693.0,6976
Aa7O2A2Y18I,2016,58547,605.0,199
_jBktIImbx8,2016,897,196.0,12
TSrzHYqMdhg,2016,1570,31.0,23
rKITaW2dlC0,2016,27998,609.0,115
Aa7O2A2Y18I,2016,58547,605.0,199
454Zd51tzaY,2016,112153,295.0,2292
Zm8IOabKuMs,2016,143142,821.0,754
FGPbkGga9Rc,2016,192,43.0,23
PyZKrXbETWo,2016,126,31.0,9
gFJPAOUb_3Q,2016,3611,564.0,16
OR67nYVBjOc,2016,1082,48.0,4
ZHPVljMeEu4,2016,91,33.0,15
bpi7zRtqwsA,2016,203127,1178.0,1064
2WkDLVu6suA,2016,723769,427.0,5109
fI8US8x0Bnk,2016,1090315,745.0,2660
NlLUq5-SwV0,2016,9750,72.0,328
v_3Oe7-W91A,2016,20279,2096.0,64
Yeu4cebEpeQ,2016,195136,699.0,478
Ax2agrG5fo4,2016,539743,816.0,2115
_OeVG9KE-HI,2016,14437,25.0,0
9OYt-eCOg7E,2016,353,21.0,4
gjM_lo7SzLk,2016,127,12.0,6
cCE_KjB9QFw,2016,142,34.0,4
uXruKMg8ZYg,2016,1080946,539.0,14600
8HAxaHJfwj4,2017,339118,298.0,2452
wvWpdrfoEv0,2017,2117368,143.0,84137
kS2q5XH638Q,2017,320860,126.0,730
Erp8IAUouus,2017,10997464,469.0,259703
BGbNizFVz-I,2017,109979,294.0,687
Sv2tok2ycXA,2017,5259992,338.0,25418
KIziIE4M0WA,2017,7404756,386.0,30333
tlI1pMCip8M,2017,179267,76.0,1367
AfXx4CifcOo,2017,396263,215.0,33
